Ag	1	1.78239	0.457	4.438	5	0.63519	2.22578	O	-2
Al	3	1.59901	0.516	5.327	5	1.80346	1.75806	O	-2
As	3	1.76706	0.541	3	5	1.51493	1.64554	O	-2
As	5	1.76689	0.385	4.029	5	2.71934	1.58127	O	-2
Au	3	1.81761	0.415	4	5.5	1.96967	1.81312	O	-2
B	3	1.35761	0.45	3.417	4.5	2.38924	1.34003	O	-2
Ba	2	2.15998	0.448	10.32	6	0.57994	2.73769	O	-2
Be	2	1.20903	0.442	4	5.5	2.76882	1.52217	O	-2
Bi	3	2.03677	0.482	6.058	5.5	0.97904	2.18321	O	-2
Bi	5	2.04498	0.512	6	5	1.4405	1.98599	O	-2
Br	7	1.83658	0.424	4	5.5	4.24339	1.50274	O	-2
C	2	1.41368	0.432	1	5	2.40553	1.03098	O	-2
C	4	1.39826	0.437	3	5	4.79187	1.20089	O	-2
Ca	2	1.79519	0.402	7.544	5.5	0.99429	2.32032	O	-2
Cd	2	1.83926	0.441	6.176	5.5	0.98346	2.1694	O	-2
Ce	3	2.03118	0.427	9.147	5.5	1.22048	2.37861	O	-2
Ce	4	2.02821	0.443	7.867	5.5	1.48412	2.19872	O	-2
Cl	5	1.69552	0.491	3	5.5	4.29089	1.35653	O	-2
Cl	7	1.67946	0.436	4	5	5.991	1.34801	O	-2
Co	2	1.59773	0.476	5.506	5.5	1.51476	1.93362	O	-2
Co	3	1.59234	0.494	6	5.5	1.87024	1.7762	O	-2
Cr	3	1.66198	0.503	6	5.5	1.77335	1.83887	O	-2
Cr	6	1.82471	0.426	4	5.5	3.68751	1.53251	O	-2
Cs	1	2.25899	0.439	11.79	6.5	0.23307	3.13121	O	-2
Cu	1	1.5873	0.476	2.56	5	0.66417	1.78269	O	-2
Cu	2	1.57422	0.402	5.087	5	1.85341	1.56633	O	-2
Dy	3	1.96029	0.43	7.828	5.5	1.1735	2.22689	O	-2
Er	3	1.95608	0.52	7.135	5.5	1.12394	2.17477	O	-2
Eu	3	2.00469	0.413	7.743	5.5	1.19545	2.26888	O	-2
Fe	2	1.57911	0.402	5.743	5.5	1.69269	1.96005	O	-2
Fe	3	1.7084	0.437	5.733	5	1.66681	1.86647	O	-2
Ga	3	1.71606	0.41	4.905	5	1.18456	1.79391	O	-2
Ge	4	1.73939	0.48	4.305	5	1.91375	1.66872	O	-2
H	1	0.87045	0.414	1.923	4	1.8858	1.12768	O	-2
Hg	2	1.81276	0.451	6.966	5.5	1.12852	2.25275	O	-2
In	3	1.90305	0.403	6.024	5	0.84076	2.02471	O	-2
K	1	1.94117	0.411	8.846	6	0.34985	2.76636	O	-2
La	3	2.06392	0.404	9.83	5.5	1.18587	2.46989	O	-2
Li	1	1.17096	0.516	5.021	5.5	0.98816	1.94001	O	-2
Lu	3	1.91728	0.427	6.83	5.5	1.19488	2.136	O	-2
Mg	2	1.48398	0.423	5.897	5.5	1.57554	1.95627	O	-2
Mn	2	1.62758	0.413	5.91	5.5	1.64143	2.02969	O	-2
Mn	4	1.73272	0.478	5.923	5	1.85886	1.77045	O	-2
Mn	7	1.87362	0.526	4	6.5	4.9163	1.48171	O	-2
Mo	3	1.78933	0.501	5.7	5.5	1.42826	1.92974	O	-2
Mo	4	1.7239	0.391	6	6.5	3.10807	1.85099	O	-2
Mo	6	1.90934	0.562	4.764	5	1.9915	1.71254	O	-2
N	3	1.40795	0.418	2	5	3.81089	1.13758	O	-2
N	5	1.46267	0.425	3	5	6.27677	1.16142	O	-2
Na	1	1.56225	0.436	6.52	6	0.482	2.37433	O	-2
Nb	3	1.74581	0.449	6	6	2.02848	1.9519	O	-2
Nb	4	1.78543	0.403	6	6	2.7096	1.85989	O	-2
Nb	5	1.86588	0.478	6.044	5.5	2.72326	1.85459	O	-2
Nd	3	2.02425	0.449	8.647	5.5	1.13205	2.33016	O	-2
NH4	1	2.0338	0.498	3.467	6	0.40537	2.45364	O	-2
Ni	2	1.5592	0.394	5.933	5.5	1.46841	1.92452	O	-2
Ni	3	1.64888	0.407	6	5.5	1.66191	1.81887	O	-2
P	3	1.51555	0.4	3	4.5	2.02062	1.41051	O	-2
P	5	1.62038	0.423	4	5	3.89635	1.44066	O	-2
Pb	2	2.01825	0.419	7.541	5.5	0.63833	2.44191	O	-2
Pb	4	2.03293	0.424	5.74	5	1.02719	2.02857	O	-2
Pd	2	1.62359	0.412	4	5.5	1.7391	1.83671	O	-2
Pd	4	1.805	0.401	5.333	5.5	2.04218	1.79813	O	-2
Pr	3	2.03652	0.419	9.067	5.5	1.17041	2.37113	O	-2
Pt	2	1.51205	0.437	4	5.5	2.14999	1.80179	O	-2
Pt	4	1.82198	0.451	6	5.5	2.03825	1.87174	O	-2
Rb	1	2.08597	0.443	10.02	6.5	0.26813	2.89683	O	-2
Re	3	2.2071	0.449	6	6	0.81067	2.33218	O	-2
Re	5	1.82664	0.439	6	6	2.41099	1.76914	O	-2
Re	7	1.97792	0.433	4.098	6	3.55593	1.59634	O	-2
Rh	3	1.67013	0.434	6	5.5	1.92826	1.86915	O	-2
Ru	4	1.79363	0.415	6	5.5	1.99513	1.84053	O	-2
Ru	5	1.87442	0.494	6	5.5	2.13208	1.81571	O	-2
S	4	1.64282	0.426	3	5.5	3.03672	1.41188	O	-2
S	6	1.6422	0.415	4	5	4.96726	1.38102	O	-2
Sb	3	1.92036	0.412	6	5	1.17786	2.07526	O	-2
Sb	5	1.89768	0.421	6	5.5	1.95523	1.86318	O	-2
Sc	3	1.7322	0.426	6.255	5.5	2.1561	1.99615	O	-2
Se	4	1.80095	0.421	3	5.5	2.38082	1.55957	O	-2
Se	6	1.79866	0.478	4	5.5	3.44865	1.53287	O	-2
Si	4	1.60817	0.486	4.1	5	2.8572	1.53594	O	-2
Sm	3	2.01168	0.401	8.119	5.5	1.17622	2.29536	O	-2
Sn	2	1.87499	0.498	3.325	5.5	0.97261	1.9642	O	-2
Sn	4	1.89019	0.52	6.069	5	1.35268	1.93422	O	-2
Sr	2	1.95311	0.508	9.4	5.5	0.74351	2.53589	O	-2
Ta	4	1.75632	0.498	5.5	6	2.75655	1.79826	O	-2
Ta	5	1.86816	0.479	6.09	5.5	2.36669	1.85532	O	-2
Tb	3	1.95675	0.401	7.958	5.5	1.20764	2.23563	O	-2
Tb	4	1.96244	0.512	6	6	1.70132	2.38506	O	-2
Te	4	1.9529	0.479	3.396	5.5	1.67169	1.75208	O	-2
Te	6	1.91343	0.463	6	5.5	2.56406	1.80876	O	-2
Ti	3	1.69766	0.498	6	5.5	1.97851	1.88619	O	-2
Ti	4	1.72394	0.479	6	5.5	2.81333	1.83144	O	-2
Tl	1	1.91752	0.436	8.03	6	0.34999	2.77086	O	-2
Tl	3	2.06297	0.479	5.22	5	0.67637	2.10642	O	-2
Tm	3	1.94901	0.574	6.912	5.5	1.18138	2.16042	O	-2
V	3	1.67799	0.498	6	5.5	1.82936	1.85797	O	-2
V	4	1.74932	0.441	5.738	5	2.08047	1.77638	O	-2
V	5	1.79445	0.465	4.166	5.5	3.69533	1.60258	O	-2
W	4	1.74558	0.465	6	6	2.47114	1.81945	O	-2
W	5	1.81975	0.338	6	6	2.6157	1.76261	O	-2
W	6	1.90641	0.483	5.688	5	1.84267	1.77713	O	-2
Y	3	1.90384	0.354	7.285	5.5	1.62701	2.21523	O	-2
Yb	3	1.92872	0.433	6.875	5.5	1.21989	2.1422	O	-2
Zn	2	1.65344	0.371	4.718	5	1.24031	1.88557	O	-2
Zr	4	1.84505	0.414	6.765	5.5	2.19103	1.99602	O	-2
Li	1	1.46652	0.653	4.604	6	1.016393	2.466331	S	-2
Li	1	1.1543	0.637	4.16	6	2.054953	2.132557	N	-3
